url,type
https://www.defensenews.com/global/europe/2021/11/17/british-f-35-crashes-into-the-mediterranean-pilot-ejects-safely/,defense
https://www.defensenews.com/air/2021/11/16/american-official-us-fully-committed-to-f-35-sale-to-uae/,defense
https://www.defensenews.com/air/2021/11/15/brittle-air-refueling-capability-endangers-us-during-major-war/,defense
https://www.defensenews.com/digital-show-dailies/dubai-air-show/2021/11/14/thailand-becomes-first-foreign-customer-of-at-6-light-attack-aircraft/,defense
https://www.defensenews.com/industry/2021/11/12/tai-installs-missile-destroyer-on-a400m-aircraft/,defense
https://www.defensenews.com/global/europe/2021/11/22/italy-air-force-f-35b-makes-first-time-landing-on-italian-carrier/,defense
https://www.defensenews.com/air/2021/11/19/niger-becomes-first-foreign-customer-of-turkeys-hurkus-aircraft/,defense
https://www.defensenews.com/global/asia-pacific/2021/11/19/taiwan-brings-upgraded-f-16s-into-service/,defense
https://www.defensenews.com/air/2021/11/10/mcguire-dix-lakehurst-gets-its-first-kc-46s-and-the-air-forces-50th/,defense
https://www.defensenews.com/smr/cybercon/2021/11/10/the-cyber-battlefield-against-china-and-russia-is-constantly-shifting-heres-how-the-nsa-is-trying-to-stay-on-top/,defense
https://www.defensenews.com/training-sim/2021/11/10/singapore-tries-to-normalize-military-training-schedule-after-pandemic-disruption/,defense
https://www.defensenews.com/global/europe/2021/11/09/spains-ministry-of-defense-denies-interest-in-the-f-35/,defense
https://www.defensenews.com/digital-show-dailies/dubai-air-show/2021/11/09/dubai-airshow-team-aims-to-help-aerospace-sector-recover-from-pandemic/,defense
https://www.defensenews.com/industry/techwatch/2021/11/08/darpa-has-caught-a-gremlin-drone-in-midair-can-it-grab-four-in-a-half-hour/,defense
https://www.defensenews.com/digital-show-dailies/dubai-air-show/2021/11/08/abu-dhabis-dilemma-will-the-uae-ever-operate-the-f-35/,defense
https://www.defensenews.com/digital-show-dailies/feindef/2021/11/08/airbus-unveils-jet-trainer-with-eyes-on-spain/,defense
https://www.defensenews.com/digital-show-dailies/dubai-air-show/2021/11/07/with-afghanistan-off-limits-us-hunts-for-safe-airspace-as-mideast-mission-continues/,defense
https://www.defensenews.com/air/2021/11/05/lockheed-wins-109b-contract-to-modernize-f-22/,defense
https://www.defensenews.com/unmanned/2021/11/05/darpa-nabs-gremlin-drone-in-midair-for-first-time/,defense
https://www.defensenews.com/air/2021/11/04/washington-oks-missiles-worth-650m-for-saudis/,defense
https://www.defensenews.com/digital-show-dailies/feindef/2021/11/04/f-35-eurofighter-typhoon-are-the-two-options-to-replace-spains-aging-hornets/,defense
https://www.defensenews.com/air/2021/11/03/us-air-force-tests-cross-country-data-sharing-across-three-flag-exercises/,defense
https://www.defensenews.com/opinion/commentary/2021/11/03/blue-flag-exercise-has-israels-enemies-seeing-red/,defense
https://www.defensenews.com/industry/2021/11/01/japan-becomes-first-non-american-operator-of-kc-46a-tanker/,defense
https://www.defensenews.com/air/2021/10/29/ge-will-provide-all-f-15ex-engines-under-16b-contract/,defense
https://www.defensenews.com/global/asia-pacific/2021/10/29/new-variants-of-chinese-stealth-fighters-break-cover/,defense
https://www.defensenews.com/air/2021/10/28/satellite-images-show-china-may-be-using-closed-civilian-airport-to-launch-taiwan-overflights/,defense
https://www.defensenews.com/air/2021/10/26/mitchell-institute-ditch-f-15ex-for-more-f-35s-new-stealth-fighters/,defense
https://www.defensenews.com/air/2021/10/26/raytheon-ceo-air-force-may-not-be-able-to-afford-new-f-35-engine/,defense
https://www.defensenews.com/air/2021/10/25/air-force-holds-week-of-f-15ex-tests-at-nellis/,defense
https://www.defensenews.com/air/2021/10/21/booster-rocket-failure-scuttles-hypersonic-test/,defense
https://www.defensenews.com/air/2021/10/21/uncharted-waters-with-no-hyten-successor-in-sight-dod-prepares-to-delegate-vice-chair-jobs/,defense
https://www.defensenews.com/air/2021/10/20/fund-the-f-35-program-lawmakers-tell-the-white-house/,defense
https://www.defensenews.com/artificial-intelligence/2021/10/20/us-air-force-teams-with-uk-on-machine-learning-demo/,defense
https://www.defensenews.com/global/asia-pacific/2021/10/20/china-shows-off-drones-recycled-from-soviet-era-fighter-jets/,defense
https://www.defensenews.com/newsletters/daily-news-roundup/2021/10/19/l3harris-first-flight-of-future-compass-call-paves-way-for-2022-delivery/,defense
https://www.defensenews.com/air/2021/10/17/turkey-us-proposed-to-sell-it-f-16-fighters/,defense
https://www.defensenews.com/digital-show-dailies/2021/10/15/kc-46-gets-new-refueling-approvals-for-transcom-missions/,defense
https://www.defensenews.com/news/your-air-force/2021/10/14/biden-nominates-former-faa-official-ravi-chaudhary-as-air-force-installations-boss/,defense
https://www.defensenews.com/digital-show-dailies/ausa/2021/10/12/heres-how-army-aviation-is-tackling-the-open-architecture-challenge/,defense
https://www.defensenews.com/digital-show-dailies/ausa/2021/10/12/army-aviation-chief-programs-may-need-to-sacrifice-perfect-solutions/,defense
https://www.defensenews.com/news/your-air-force/2021/10/12/the-air-force-is-testing-a-new-bunker-busting-bomb-that-could-counter-north-korea-and-iran/,defense
https://www.defensenews.com/news/your-air-force/2021/10/11/this-compass-call-squadron-is-coming-home-after-20-years-of-hacking-and-jamming-enemies-in-centcom/,defense
https://www.defensenews.com/air/2021/10/11/lockheed-delivers-laser-for-ac-130j-gunship/,defense
https://www.defensenews.com/air/2021/10/07/after-years-of-delays-malaysias-md-530g-helos-on-order-will-undergo-predelivery-inspection/,defense
https://www.defensenews.com/unmanned/2021/10/07/italy-drops-drone-program-instead-buying-piaggio-aircraft/,defense
https://www.defensenews.com/air/2021/10/07/finland-tweaks-2022-budget-to-accommodate-hx-fighter-purchase/,defense
https://www.defensenews.com/congress/2021/10/05/air-force-pick-pledges-to-tackle-f-35-sustainment-costs-back-nuclear-modernization-plans/,defense
https://www.defensenews.com/2021/09/30/turkey-wants-compensation-for-ouster-from-us-led-jet-program/,defense
https://www.defensenews.com/global/europe/2021/09/29/boeing-gets-nod-to-start-building-germanys-p-8-anti-submarine-aircraft/,defense
https://www.defensenews.com/global/asia-pacific/2021/09/29/china-preps-rollout-of-a-new-carrier-based-fighter-jet/,defense
https://www.defensenews.com/global/the-americas/2021/09/28/could-britain-stop-argentina-from-buying-the-jf-17-warplane/,defense
https://www.defensenews.com/news/your-air-force/2021/09/24/farewell-bones-air-force-finishes-latest-round-of-b-1b-bomber-retirements/,defense
https://www.defensenews.com/battlefield-tech/c2-comms/2021/09/23/air-force-software-tool-helped-coordinate-afghanistan-evacuation-of-civilians/,defense
https://www.defensenews.com/flashpoints/2021/09/23/china-sends-19-fighter-jets-towards-taiwan-in-show-of-force/,defense
https://www.defensenews.com/air/2021/09/22/air-forces-top-civilian-hints-at-changes-to-hypersonic-weapons-programs/,defense
https://www.defensenews.com/news/your-air-force/2021/09/21/top-air-force-officers-plan-to-accelerate-change-or-lose-is-picking-up-speed-one-year-in/,defense
https://www.defensenews.com/air/2021/09/21/us-air-force-to-declare-winner-of-b-52-engine-replacement-competition-as-soon-as-this-month/,defense
https://www.defensenews.com/training-sim/2021/09/15/see-taiwanese-jets-take-off-from-rural-roads-and-more-from-its-latest-drill/,defense
https://www.defensenews.com/air/2021/09/14/lockheed-nabs-f-35-sustainment-contract-worth-up-to-66b/,defense
https://www.defensenews.com/digital-show-dailies/dsei/2021/09/13/britain-spends-850-million-on-c-17-upgrades-typhoon-training-tech/,defense
https://www.defensenews.com/global/asia-pacific/2021/09/09/indian-government-approves-order-request-for-56-c295-aircraft/,defense
https://www.defensenews.com/global/europe/2021/11/18/eu-nations-add-air-space-and-drone-tech-to-their-defense-cooperation-roster/,defense
https://www.defensenews.com/digital-show-dailies/dubai-air-show/2021/11/18/uae-air-force-awards-3-billon-maintenance-contact-to-local-firm-gal/,defense
https://www.defensenews.com/global/europe/2021/11/17/british-air-force-hails-first-ever-test-flight-using-only-synthetic-fuel/,defense
